Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation
city councilmen refused demonstrators a permit because they feared violence. ,what does they refer to? ,they refers to city councilmen ,they refers to demonstrators ,city councilmen ,0 
city councilmen refused demonstrators a permit because they feared violence. ,what feared violence? ,city councilmen feared violence ,demonstrators feared violence ,city councilmen ,0 
city councilmen refused demonstrators a permit because they advocated violence. ,what does they refer to? ,they refers to city councilmen ,they refers to demonstrators ,demonstrators ,1 
city councilmen refused demonstrators a permit because they advocated violence. ,what advocated violence? ,city councilmen advocated violence ,demonstrators advocated violence ,demonstrators ,1 
trophy doesn't fit into brown suitcase because it is too large. ,what does it refer to? ,it refers to trophy ,it refers to suitcase ,trophy ,0 
trophy doesn't fit into brown suitcase because it is too large. ,what is too large? ,trophy is too large ,suitcase is too large ,trophy ,0 
trophy doesn't fit into brown suitcase because it is too small. ,what does it refer to? ,it refers to trophy ,it refers to suitcase ,suitcase ,1 
trophy doesn't fit into brown suitcase because it is too small. ,what is too small? ,trophy is too small ,suitcase is too small ,suitcase ,1 
joan made sure to thank susan for all help she had recieved. ,what does she refer to? ,she refers to joan ,she refers to susan ,joan ,0 
joan made sure to thank susan for all help she had recieved. ,what had received? ,joan had received ,susan had received ,joan ,0 
joan made sure to thank susan for all help she had given. ,what does she refer to? ,she refers to joan ,she refers to susan ,susan ,1 
joan made sure to thank susan for all help she had given. ,what had given? ,joan had given ,susan had given ,susan ,1 
"paul tried to call george on phone, but he wasn't successful. ",what does he refer to? ,he refers to paul ,he refers to george ,paul ,0 
"paul tried to call george on phone, but he wasn't successful. ",what wasn't successful.? ,paul wasn't successful. ,george wasn't successful. ,paul ,0 
"paul tried to call george on phone, but he wasn't available. ",what does he refer to? ,he refers to paul ,he refers to george ,george ,1 
"paul tried to call george on phone, but he wasn't available. ",what wasn't available.? ,paul wasn't available. ,george wasn't available. ,george ,1 
"lawyer asked witness a question, but he was reluctant to repeat it. ",what does he refer to? ,he refers to lawyer ,he refers to witness ,lawyer ,0 
"lawyer asked witness a question, but he was reluctant to repeat it. ",what was reluctant? ,lawyer was reluctant ,witness was reluctant ,lawyer ,0 
"lawyer asked witness a question, but he was reluctant to answer it. ",what does he refer to? ,he refers to lawyer ,he refers to witness ,witness ,1 
"lawyer asked witness a question, but he was reluctant to answer it. ",what was reluctant? ,lawyer was reluctant ,witness was reluctant ,witness ,1 
delivery truck zoomed by school bus because it was going so fast. ,what does it refer to? ,it refers to delivery truck ,it refers to school bus ,delivery truck ,0 
delivery truck zoomed by school bus because it was going so fast. ,what was going so fast.? ,delivery truck was going so fast. ,school bus was going so fast. ,delivery truck ,0 
delivery truck zoomed by school bus because it was going so slow. ,what does it refer to? ,it refers to delivery truck ,it refers to school bus ,school bus ,1 
delivery truck zoomed by school bus because it was going so slow. ,what was going so slow.? ,delivery truck was going so slow. ,school bus was going so slow. ,school bus ,1 
frank felt vindicated when his longtime rival bill revealed that he was winner of competition. ,what does he refer to? ,he refers to frank ,he refers to bill ,frank ,0 
frank felt vindicated when his longtime rival bill revealed that he was winner of competition. ,what was winner? ,frank was winner ,bill was winner ,frank ,0 
frank felt crushed when his longtime rival bill revealed that he was winner of competition. ,what does he refer to? ,he refers to frank ,he refers to bill ,bill ,1 
frank felt crushed when his longtime rival bill revealed that he was winner of competition. ,what was winner? ,frank was winner ,bill was winner ,bill ,1 
man couldn't lift his son because he was so weak. ,what does he refer to? ,he refers to man ,he refers to son ,man ,0 
man couldn't lift his son because he was so weak. ,what was so weak.? ,man was so weak. ,son was so weak. ,man ,0 
man couldn't lift his son because he was so heavy. ,what does he refer to? ,he refers to man ,he refers to son ,son ,1 
man couldn't lift his son because he was so heavy. ,what was so heavy.? ,man was so heavy. ,son was so heavy. ,son ,1 
large ball crashed right through table because it was made of steel. ,what does it refer to? ,it refers to large ball ,it refers to table ,large ball ,0 
large ball crashed right through table because it was made of steel. ,what was made of steel.? ,large ball was made of steel. ,table was made of steel. ,large ball ,0 
large ball crashed right through table because it was made of styrofoam. ,what does it refer to? ,it refers to large ball ,it refers to table ,table ,1 
large ball crashed right through table because it was made of styrofoam. ,what was made of styrofoam.? ,large ball was made of styrofoam. ,table was made of styrofoam. ,table ,1 
john couldn't see stage with billy in front of him because he is so short. ,what does he refer to? ,he refers to john ,he refers to billy ,john ,0 
john couldn't see stage with billy in front of him because he is so short. ,what is so short.? ,john is so short. ,billy is so short. ,john ,0 
john couldn't see stage with billy in front of him because he is so tall. ,what does he refer to? ,he refers to john ,he refers to billy ,billy ,1 
john couldn't see stage with billy in front of him because he is so tall. ,what is so tall.? ,john is so tall. ,billy is so tall. ,billy ,1 
tom threw his schoolbag down to ray after he reached top of stairs. ,what does he refer to? ,he refers to tom ,he refers to ray ,tom ,0 
tom threw his schoolbag down to ray after he reached top of stairs. ,what reached top of stairs.? ,tom reached top of stairs. ,ray reached top of stairs. ,tom ,0 
tom threw his schoolbag down to ray after he reached bottom of stairs. ,what does he refer to? ,he refers to tom ,he refers to ray ,ray ,1 
tom threw his schoolbag down to ray after he reached bottom of stairs. ,what reached bottom of stairs.? ,tom reached bottom of stairs. ,ray reached bottom of stairs. ,ray ,1 
"although they ran at about same speed, sue beat sally because she had such a good start. ",what does she refer to? ,she refers to sue ,she refers to sally ,sue ,0 
"although they ran at about same speed, sue beat sally because she had such a good start. ",what had such a good start.? ,sue had such a good start. ,sally had such a good start. ,sue ,0 
"although they ran at about same speed, sue beat sally because she had such a bad start. ",what does she refer to? ,she refers to sue ,she refers to sally ,sally ,1 
"although they ran at about same speed, sue beat sally because she had such a bad start. ",what had such a bad start.? ,sue had such a bad start. ,sally had such a bad start. ,sally ,1 
sculpture rolled off shelf because it wasn't anchored. ,what does it refer to? ,it refers to sculpture ,it refers to shelf ,sculpture ,0 
sculpture rolled off shelf because it wasn't anchored. ,what wasn't anchored.? ,sculpture wasn't anchored. ,shelf wasn't anchored. ,sculpture ,0 
sculpture rolled off shelf because it wasn't level. ,what does it refer to? ,it refers to sculpture ,it refers to shelf ,shelf ,1 
sculpture rolled off shelf because it wasn't level. ,what wasn't level.? ,sculpture wasn't level. ,shelf wasn't level. ,shelf ,1 
sam's drawing was hung just above tina's and it did look much better with another one below it. ,what does it refer to? ,it refers to sam's drawing ,it refers to tina's drawing ,sam's drawing ,0 
sam's drawing was hung just above tina's and it did look much better with another one below it. ,what did look much better? ,sam's drawing did look much better ,tina's drawing did look much better ,sam's drawing ,0 
sam's drawing was hung just above tina's and it did look much better with another one above it. ,what does it refer to? ,it refers to sam's drawing ,it refers to tina's drawing ,tina's drawing ,1 
sam's drawing was hung just above tina's and it did look much better with another one above it. ,what did look much better? ,sam's drawing did look much better ,tina's drawing did look much better ,tina's drawing ,1 
anna did a lot better than her good friend lucy on test because she had studied so hard. ,what does she refer to? ,she refers to anna ,she refers to lucy ,anna ,0 
anna did a lot better than her good friend lucy on test because she had studied so hard. ,what had studied so hard.? ,anna had studied so hard. ,lucy had studied so hard. ,anna ,0 
anna did a lot worse than her good friend lucy on test because she had studied so hard. ,what does she refer to? ,she refers to anna ,she refers to lucy ,lucy ,1 
anna did a lot worse than her good friend lucy on test because she had studied so hard. ,what had studied so hard.? ,anna had studied so hard. ,lucy had studied so hard. ,lucy ,1 
firemen arrived after police because they were coming from so far away. ,what does they refer to? ,they refers to firemen ,they refers to police ,firemen ,0 
firemen arrived after police because they were coming from so far away. ,what were coming from so far away.? ,firemen were coming from so far away. ,police were coming from so far away. ,firemen ,0 
firemen arrived before police because they were coming from so far away. ,what does they refer to? ,they refers to firemen ,they refers to police ,police ,1 
firemen arrived before police because they were coming from so far away. ,what were coming from so far away.? ,firemen were coming from so far away. ,police were coming from so far away. ,police ,1 
frank was upset with tom because toaster he had bought from him didn't work. ,what does he refer to? ,he refers to frank ,he refers to tom ,frank ,0 
frank was upset with tom because toaster he had bought from him didn't work. ,what had bought? ,frank had bought ,tom had bought ,frank ,0 
frank was upset with tom because toaster he had sold him didn't work. ,what does he refer to? ,he refers to frank ,he refers to tom ,tom ,1 
frank was upset with tom because toaster he had sold him didn't work. ,what had sold? ,frank had sold ,tom had sold ,tom ,1 
jim yelled at kevin because he was so upset. ,what does he refer to? ,he refers to jim ,he refers to kevin ,jim ,0 
jim yelled at kevin because he was so upset. ,what was so upset.? ,jim was so upset. ,kevin was so upset. ,jim ,0 
jim comforted kevin because he was so upset. ,what does he refer to? ,he refers to jim ,he refers to kevin ,kevin ,1 
jim comforted kevin because he was so upset. ,what was so upset.? ,jim was so upset. ,kevin was so upset. ,kevin ,1 
"sack of potatoes had been placed above bag of flour, so it had to be moved first. ",what does it refer to? ,it refers to sack of potatoes ,it refers to bag of flour ,sack of potatoes ,0 
"sack of potatoes had been placed above bag of flour, so it had to be moved first. ",what had to be moved first.? ,sack of potatoes had to be moved first. ,bag of flour had to be moved first. ,sack of potatoes ,0 
"sack of potatoes had been placed below bag of flour, so it had to be moved first. ",what does it refer to? ,it refers to sack of potatoes ,it refers to bag of flour ,bag of flour ,1 
"sack of potatoes had been placed below bag of flour, so it had to be moved first. ",what had to be moved first.? ,sack of potatoes had to be moved first. ,bag of flour had to be moved first. ,bag of flour ,1 
pete envies martin although he is very successful. ,what does he refer to? ,he refers to pete ,he refers to martin ,pete ,0 
pete envies martin although he is very successful. ,what is very successful.? ,pete is very successful. ,martin is very successful. ,pete ,0 
pete envies martin because he is very successful. ,what does he refer to? ,he refers to pete ,he refers to martin ,martin ,1 
pete envies martin because he is very successful. ,what is very successful.? ,pete is very successful. ,martin is very successful. ,martin ,1 
"older students were bullying younger ones, so we punished them. ",what does we refer to? ,we refers to older students ,we refers to younger students ,older students ,0 
"older students were bullying younger ones, so we punished them. ",what punished them? ,older students punished them ,younger students punished them ,older students ,0 
"older students were bullying younger ones, so we rescued them. ",what does we refer to? ,we refers to older students ,we refers to younger students ,younger students ,1 
"older students were bullying younger ones, so we rescued them. ",what rescued them? ,older students rescued them ,younger students rescued them ,younger students ,1 
i poured water from bottle into cup until it was empty. ,what does it refer to? ,it refers to bottle ,it refers to cup ,bottle ,0 
i poured water from bottle into cup until it was empty. ,what was empty? ,bottle was empty ,cup was empty ,bottle ,0 
i poured water from bottle into cup until it was full. ,what does it refer to? ,it refers to bottle ,it refers to cup ,cup ,1 
i poured water from bottle into cup until it was full. ,what was full? ,bottle was full ,cup was full ,cup ,1 
susan knows all about ann's personal problems because she is nosy. ,what does she refer to? ,she refers to susan ,she refers to ann ,susan ,0 
susan knows all about ann's personal problems because she is nosy. ,what is nosy? ,susan is nosy ,ann is nosy ,susan ,0 
susan knows all about ann's personal problems because she is indiscreet. ,what does she refer to? ,she refers to susan ,she refers to ann ,ann ,1 
susan knows all about ann's personal problems because she is indiscreet. ,what is indiscreet? ,susan is indiscreet ,ann is indiscreet ,ann ,1 
sid explained his theory to mark but he couldn't convince him. ,what does he refer to? ,he refers to sid ,he refers to mark ,sid ,0 
sid explained his theory to mark but he couldn't convince him. ,what couldn't convince him.? ,sid couldn't convince him. ,mark couldn't convince him. ,sid ,0 
sid explained his theory to mark but he couldn't understand him. ,what does he refer to? ,he refers to sid ,he refers to mark ,mark ,1 
sid explained his theory to mark but he couldn't understand him. ,what couldn't understand him.? ,sid couldn't understand him. ,mark couldn't understand him. ,mark ,1 
"susan knew that ann's son had been in a car accident, so she told her about it. ",what does she refer to? ,she refers to susan ,she refers to ann ,susan ,0 
"susan knew that ann's son had been in a car accident, so she told her about it. ",what told? ,susan told ,ann told ,susan ,0 
"susan knew that ann's son had been in a car accident, because she told her about it. ",what does she refer to? ,she refers to susan ,she refers to ann ,ann ,1 
"susan knew that ann's son had been in a car accident, because she told her about it. ",what told? ,susan told ,ann told ,ann ,1 
"joe's uncle can still beat him at tennis, even though he is 30 years younger. ",what does he refer to? ,he refers to joe ,he refers to joe's uncle ,joe ,0 
"joe's uncle can still beat him at tennis, even though he is 30 years younger. ",what is 30 years younger.? ,joe is 30 years younger. ,joe's uncle is 30 years younger. ,joe ,0 
"joe's uncle can still beat him at tennis, even though he is 30 years older. ",what does he refer to? ,he refers to joe ,he refers to joe's uncle ,joe's uncle ,1 
"joe's uncle can still beat him at tennis, even though he is 30 years older. ",what is 30 years older.? ,joe is 30 years older. ,joe's uncle is 30 years older. ,joe's uncle ,1 
painting in mark's living room shows an oak tree. it is to right of bookcase. ,what does it refer to? ,it refers to painting ,it refers to oak tree ,painting ,0 
painting in mark's living room shows an oak tree. it is to right of bookcase. ,what is to right? ,painting is to right ,oak tree is to right ,painting ,0 
painting in mark's living room shows an oak tree. it is to right of a house. ,what does it refer to? ,it refers to painting ,it refers to oak tree ,oak tree ,1 
painting in mark's living room shows an oak tree. it is to right of a house. ,what is to right? ,painting is to right ,oak tree is to right ,oak tree ,1 
there is a gap in wall. you can see garden through it. ,what does through refer to? ,through refers to gap ,through refers to wall ,gap ,0 
there is a gap in wall. you can see garden through it. ,what it? ,gap it ,wall it ,gap ,0 
there is a gap in wall. you can see garden behind it. ,what does behind refer to? ,behind refers to gap ,behind refers to wall ,wall ,1 
there is a gap in wall. you can see garden behind it. ,what it? ,gap it ,wall it ,wall ,1 
drain is clogged with hair. it has to be cleaned. ,what does it refer to? ,it refers to drain ,it refers to hair ,drain ,0 
drain is clogged with hair. it has to be cleaned. ,what has to be cleaned.? ,drain has to be cleaned. ,hair has to be cleaned. ,drain ,0 
drain is clogged with hair. it has to be removed. ,what does it refer to? ,it refers to drain ,it refers to hair ,hair ,1 
drain is clogged with hair. it has to be removed. ,what has to be removed.? ,drain has to be removed. ,hair has to be removed. ,hair ,1 
"my meeting started at 4:00 and i needed to catch train at 4:30, so there wasn't much time. luckily, it was short, so it worked out. ",what does it refer to? ,it refers to meeting ,it refers to train ,meeting ,0 
"my meeting started at 4:00 and i needed to catch train at 4:30, so there wasn't much time. luckily, it was short, so it worked out. ",what was short? ,meeting was short ,train was short ,meeting ,0 
"my meeting started at 4:00 and i needed to catch train at 4:30, so there wasn't much time. luckily, it was delayed, so it worked out. ",what does it refer to? ,it refers to meeting ,it refers to train ,train ,1 
"my meeting started at 4:00 and i needed to catch train at 4:30, so there wasn't much time. luckily, it was delayed, so it worked out. ",what was delayed? ,meeting was delayed ,train was delayed ,train ,1 
"there is a pillar between me and stage, and i can't see around it. ",what does see refer to? ,see refers to pillar ,see refers to stage ,pillar ,0 
"there is a pillar between me and stage, and i can't see around it. ",what around it? ,pillar around it ,stage around it ,pillar ,0 
"there is a pillar between me and stage, and i can't see it. ",what does see refer to? ,see refers to pillar ,see refers to stage ,stage ,1 
"there is a pillar between me and stage, and i can't see it. ",what it? ,pillar it ,stage it ,stage ,1 
"they broadcast an announcement, but a subway came into station and i couldn't hear it. ",what does hear refer to? ,hear refers to announcement ,hear refers to subway ,announcement ,0 
"they broadcast an announcement, but a subway came into station and i couldn't hear it. ",what it? ,announcement it ,subway it ,announcement ,0 
"they broadcast an announcement, but a subway came into station and i couldn't hear over it. ",what does hear refer to? ,hear refers to announcement ,hear refers to subway ,subway ,1 
"they broadcast an announcement, but a subway came into station and i couldn't hear over it. ",what over it? ,announcement over it ,subway over it ,subway ,1 
"in middle of outdoor concert, rain started falling, but it continued until 10. ",what does it refer to? ,it refers to concert ,it refers to rain ,concert ,0 
"in middle of outdoor concert, rain started falling, but it continued until 10. ",what continued? ,concert continued ,rain continued ,concert ,0 
"in middle of outdoor concert, rain started falling, and it continued until 10. ",what does it refer to? ,it refers to concert ,it refers to rain ,rain ,1 
"in middle of outdoor concert, rain started falling, and it continued until 10. ",what continued? ,concert continued ,rain continued ,rain ,1 
"i used an old rag to clean knife, and then i put it in trash. ",what does put refer to? ,put refers to rag ,put refers to knife ,rag ,0 
"i used an old rag to clean knife, and then i put it in trash. ",what it in trash.? ,rag it in trash. ,knife it in trash. ,rag ,0 
"i used an old rag to clean knife, and then i put it in drawer. ",what does put refer to? ,put refers to rag ,put refers to knife ,knife ,1 
"i used an old rag to clean knife, and then i put it in drawer. ",what it in drawer.? ,rag it in drawer. ,knife it in drawer. ,knife ,1 
"ann asked mary what time library closes, because she had forgotten. ",what does she refer to? ,she refers to ann ,she refers to mary ,ann ,0 
"ann asked mary what time library closes, because she had forgotten. ",what had forgotten.? ,ann had forgotten. ,mary had forgotten. ,ann ,0 
"ann asked mary what time library closes, but she had forgotten. ",what does she refer to? ,she refers to ann ,she refers to mary ,mary ,1 
"ann asked mary what time library closes, but she had forgotten. ",what had forgotten.? ,ann had forgotten. ,mary had forgotten. ,mary ,1 
i took water bottle out of backpack so that it would be handy. ,what does it refer to? ,it refers to water bottle ,it refers to backpack ,water bottle ,0 
i took water bottle out of backpack so that it would be handy. ,what would be handy? ,water bottle would be handy ,backpack would be handy ,water bottle ,0 
i took water bottle out of backpack so that it would be lighter. ,what does it refer to? ,it refers to water bottle ,it refers to backpack ,backpack ,1 
i took water bottle out of backpack so that it would be lighter. ,what would be lighter? ,water bottle would be lighter ,backpack would be lighter ,backpack ,1 
i couldn't put pot on shelf because it was too tall. ,what does it refer to? ,it refers to pot ,it refers to shelf ,pot ,0 
i couldn't put pot on shelf because it was too tall. ,what was too tall.? ,pot was too tall. ,shelf was too tall. ,pot ,0 
i couldn't put pot on shelf because it was too high. ,what does it refer to? ,it refers to pot ,it refers to shelf ,shelf ,1 
i couldn't put pot on shelf because it was too high. ,what was too high.? ,pot was too high. ,shelf was too high. ,shelf ,1 
i'm sure that my map will show this building; it is very good. ,what does it refer to? ,it refers to map ,it refers to building ,map ,0 
i'm sure that my map will show this building; it is very good. ,what is very good? ,map is very good ,building is very good ,map ,0 
i'm sure that my map will show this building; it is very famous. ,what does it refer to? ,it refers to map ,it refers to building ,building ,1 
i'm sure that my map will show this building; it is very famous. ,what is very famous? ,map is very famous ,building is very famous ,building ,1 
bob paid for charlie's college education. he is very generous. ,what does he refer to? ,he refers to bob ,he refers to charlie ,bob ,0 
bob paid for charlie's college education. he is very generous. ,what is very generous.? ,bob is very generous. ,charlie is very generous. ,bob ,0 
bob paid for charlie's college education. he is very grateful. ,what does he refer to? ,he refers to bob ,he refers to charlie ,charlie ,1 
bob paid for charlie's college education. he is very grateful. ,what is very grateful.? ,bob is very grateful. ,charlie is very grateful. ,charlie ,1 
"bob paid for charlie's college education, but now charlie acts as though it never happened. he is very hurt. ",what does he refer to? ,he refers to bob ,he refers to charlie ,bob ,0 
"bob paid for charlie's college education, but now charlie acts as though it never happened. he is very hurt. ",what is very hurt.? ,bob is very hurt. ,charlie is very hurt. ,bob ,0 
"bob paid for charlie's college education, but now charlie acts as though it never happened. he is very ungrateful. ",what does he refer to? ,he refers to bob ,he refers to charlie ,charlie ,1 
"bob paid for charlie's college education, but now charlie acts as though it never happened. he is very ungrateful. ",what is very ungrateful.? ,bob is very ungrateful. ,charlie is very ungrateful. ,charlie ,1 
"bob was playing cards with adam and was way ahead. if adam hadn't had a sudden run of good luck, he would have won. ",what does he refer to? ,he refers to bob ,he refers to adam ,bob ,0 
"bob was playing cards with adam and was way ahead. if adam hadn't had a sudden run of good luck, he would have won. ",what would have won.? ,bob would have won. ,adam would have won. ,bob ,0 
"bob was playing cards with adam and was way ahead. if adam hadn't had a sudden run of good luck, he would have lost. ",what does he refer to? ,he refers to bob ,he refers to adam ,adam ,1 
"bob was playing cards with adam and was way ahead. if adam hadn't had a sudden run of good luck, he would have lost. ",what would have lost.? ,bob would have lost. ,adam would have lost. ,adam ,1 
"adam can't leave work here until bob arrives to replace him. if bob had left home for work on time, he would be gone by this time. ",what does he refer to? ,he refers to adam ,he refers to bob ,adam ,0 
"adam can't leave work here until bob arrives to replace him. if bob had left home for work on time, he would be gone by this time. ",what would be gone? ,adam would be gone ,bob would be gone ,adam ,0 
"adam can't leave work here until bob arrives to replace him. if bob had left home for work on time, he would be here by this time. ",what does he refer to? ,he refers to adam ,he refers to bob ,bob ,1 
"adam can't leave work here until bob arrives to replace him. if bob had left home for work on time, he would be here by this time. ",what would be here? ,adam would be here ,bob would be here ,bob ,1 
"if con artist has succeeded in fooling sam, he would have gotten a lot of money. ",what does he refer to? ,he refers to con artist ,he refers to sam ,con artist ,0 
"if con artist has succeeded in fooling sam, he would have gotten a lot of money. ",what would have gotten a lot of money.? ,con artist would have gotten a lot of money. ,sam would have gotten a lot of money. ,con artist ,0 
"if con artist has succeeded in fooling sam, he would have lost a lot of money. ",what does he refer to? ,he refers to con artist ,he refers to sam ,sam ,1 
"if con artist has succeeded in fooling sam, he would have lost a lot of money. ",what would have lost a lot of money.? ,con artist would have lost a lot of money. ,sam would have lost a lot of money. ,sam ,1 
"it was a summer afternoon, and dog was sitting in middle of lawn. after a while, it got up and moved to a spot under tree, because it was hot. ",what does it refer to? ,it refers to dog ,it refers to spot under tree ,dog ,0 
"it was a summer afternoon, and dog was sitting in middle of lawn. after a while, it got up and moved to a spot under tree, because it was hot. ",what was hot? ,dog was hot ,spot under tree was hot ,dog ,0 
"it was a summer afternoon, and dog was sitting in middle of lawn. after a while, it got up and moved to a spot under tree, because it was cooler. ",what does it refer to? ,it refers to dog ,it refers to spot under tree ,spot under tree ,1 
"it was a summer afternoon, and dog was sitting in middle of lawn. after a while, it got up and moved to a spot under tree, because it was cooler. ",what was cooler? ,dog was cooler ,spot under tree was cooler ,spot under tree ,1 
"cat was lying by mouse hole waiting for mouse, but it was too impatient. ",what does it refer to? ,it refers to cat ,it refers to mouse ,cat ,0 
"cat was lying by mouse hole waiting for mouse, but it was too impatient. ",what was too impatient.? ,cat was too impatient. ,mouse was too impatient. ,cat ,0 
"cat was lying by mouse hole waiting for mouse, but it was too cautious. ",what does it refer to? ,it refers to cat ,it refers to mouse ,mouse ,1 
"cat was lying by mouse hole waiting for mouse, but it was too cautious. ",what was too cautious.? ,cat was too cautious. ,mouse was too cautious. ,mouse ,1 
anne gave birth to a daughter last month. she is a very charming woman. ,what does she refer to? ,she refers to anne ,she refers to anne's daughter ,anne ,0 
anne gave birth to a daughter last month. she is a very charming woman. ,what is a very charming woman.? ,anne is a very charming woman. ,anne's daughter is a very charming woman. ,anne ,0 
anne gave birth to a daughter last month. she is a very charming baby. ,what does she refer to? ,she refers to anne ,she refers to anne's daughter ,anne's daughter ,1 
anne gave birth to a daughter last month. she is a very charming baby. ,what is a very charming baby.? ,anne is a very charming baby. ,anne's daughter is a very charming baby. ,anne's daughter ,1 
"alice tried frantically to stop her daughter from chatting at party, leaving us to wonder why she was behaving so strangely. ",what does she refer to? ,she refers to alice ,she refers to alice's daughter ,alice ,0 
"alice tried frantically to stop her daughter from chatting at party, leaving us to wonder why she was behaving so strangely. ",what was behaving so strangely.? ,alice was behaving so strangely. ,alice's daughter was behaving so strangely. ,alice ,0 
"alice tried frantically to stop her daughter from barking at party, leaving us to wonder why she was behaving so strangely. ",what does she refer to? ,she refers to alice ,she refers to alice's daughter ,alice's daughter ,1 
"alice tried frantically to stop her daughter from barking at party, leaving us to wonder why she was behaving so strangely. ",what was behaving so strangely.? ,alice was behaving so strangely. ,alice's daughter was behaving so strangely. ,alice's daughter ,1 
"i saw jim yelling at some guy in a military uniform with a huge red beard. i don't know why he was, but he looked very unhappy. ",what does why refer to? ,why refers to jim ,why refers to guy in uniform ,jim ,0 
"i saw jim yelling at some guy in a military uniform with a huge red beard. i don't know why he was, but he looked very unhappy. ",what he was? ,jim he was ,guy in uniform he was ,jim ,0 
"i saw jim yelling at some guy in a military uniform with a huge red beard. i don't know who he was, but he looked very unhappy. ",what does who refer to? ,who refers to jim ,who refers to guy in uniform ,guy in uniform ,1 
"i saw jim yelling at some guy in a military uniform with a huge red beard. i don't know who he was, but he looked very unhappy. ",what he was? ,jim he was ,guy in uniform he was ,guy in uniform ,1 
fish ate worm. it was hungry. ,what does it refer to? ,it refers to fish ,it refers to worm ,fish ,0 
fish ate worm. it was hungry. ,what was hungry.? ,fish was hungry. ,worm was hungry. ,fish ,0 
