Question String,Pronoun,Split1,Split2,Option1,Option2
"We went to the lake, because a shark had been seen at the ocean beach, so it was a dangerous place to swim.",it was a dangerous place,"We went to the lake, because a shark had been seen at the ocean beach, so",it was a dangerous place to swim.,The lake,The ocean beach
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers.",they ended up looking more like golfers.,"Sam tried to paint a picture of shepherds with sheep, but",they ended up looking more like golfers.,The shepherds,The sheep
"Sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs.",they ended up looking more like dogs.,"Sam tried to paint a picture of shepherds with sheep, but",they ended up looking more like dogs.,The shepherds,The sheep
"Mary tucked her daughter Anne into bed, so that she could work.",she could work,"Mary tucked her daughter Anne into bed, so that",she could work.,Mary,Mary's daughter
"Mary tucked her daughter Anne into bed, so that she could sleep.",she could sleep.,"Mary tucked her daughter Anne into bed, so that",she could sleep.,Mary,Mary's daughter
"Fred and Alice had very warm down coats, but they were not prepared for the cold in Alaska.",they were not prepared,"Fred and Alice had very warm down coats, but",they were not prepared for the cold in Alaska.,Fred and Alice,coats
"Fred and Alice had very warm down coats, but they were not enough for the cold in Alaska.",they were not enough,"Fred and Alice had very warm down coats, but",they were not enough for the cold in Alaska.,Fred and Alice,coats
Thomson visited Cooper's grave in 1765. At that date he had been travelling for five years.,he had been travelling,Thomson visited Cooper's grave in 1765. At that date,he had been travelling for five years.,Thomson,Cooper
Thomson visited Cooper's grave in 1765. At that date he had been dead for five years.,he had been dead,Thomson visited Cooper's grave in 1765. At that date,he had been dead for five years.,Thomson,Cooper
"Jackson was greatly influenced by Arnold, though he lived two centuries later.",he lived two centuries later.,"Jackson was greatly influenced by Arnold, though",he lived two centuries later.,Jackson,Arnold
"Jackson was greatly influenced by Arnold, though he lived two centuries earlier.",he lived two centuries earlier.,"Jackson was greatly influenced by Arnold, though",he lived two centuries earlier.,Jackson,Arnold
I can't cut that tree down with that axe; it is too thick.,it is too thick.,I can't cut that tree down with that axe;,it is too thick.,The tree,The axe
I can't cut that tree down with that axe; it is too small.,it is too small.,I can't cut that tree down with that axe;,it is too small.,The tree,The axe
The foxes are getting in at night and attacking the chickens. I shall have to kill them.,to kill them,The foxes are getting in at night and attacking the chickens. I shall have,to kill them.,The foxes,The chickens
The foxes are getting in at night and attacking the chickens. I shall have to guard them.,to guard them,The foxes are getting in at night and attacking the chickens. I shall have,to guard them.,The foxes,The chickens
The foxes are getting in at night and attacking the chickens. They have gotten very bold.,They have gotten very bold.,The foxes are getting in at night and attacking the chickens.,They have gotten very bold.,The foxes,The chickens
The foxes are getting in at night and attacking the chickens. They have gotten very nervous.,They have gotten very nervous.,The foxes are getting in at night and attacking the chickens.,They have gotten very nervous.,The foxes,The chickens
"Fred covered his eyes with his hands, because the wind was blowing sand around. He opened them when the wind stopped.",opened them,"Fred covered his eyes with his hands, because the wind was blowing sand around. He",opened them when the wind stopped.,His eyes,His hands
"Fred covered his eyes with his hands, because the wind was blowing sand around. He lowered them when the wind stopped.",lowered them,"Fred covered his eyes with his hands, because the wind was blowing sand around. He",lowered them when the wind stopped.,His eyes,His hands
"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was too hard to pronounce.",it was too hard,"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured",it was too hard to pronounce.,Terpsichore,Tina
"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured it was easier to pronounce.",it was easier,"The actress used to be named Terpsichore, but she changed it to Tina a few years ago, because she figured",it was easier to pronounce.,Terpsichore,Tina
Fred watched TV while George went out to buy groceries. After an hour he got up.,he got up.,Fred watched TV while George went out to buy groceries. After an hour,he got up.,Fred,George
Fred watched TV while George went out to buy groceries. After an hour he got back.,he got back.,Fred watched TV while George went out to buy groceries. After an hour,he got back.,Fred,George
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it on.",turned it on,"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and",turned it on.,The dishwasher,The TV
"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and turned it off.",turned it off,"Fred was supposed to run the dishwasher, but he put it off, because he wanted to watch TV. But the show turned out to be boring, so he changed his mind and",turned it off.,The dishwasher,The TV
Fred is the only man still alive who remembers my great-grandfather. He is a remarkable man.,He is a remarkable man.,Fred is the only man still alive who remembers my great-grandfather.,He is a remarkable man.,Fred,My great-grandfather
Fred is the only man still alive who remembers my great-grandfather. He was a remarkable man.,He was a remarkable man.,Fred is the only man still alive who remembers my great-grandfather.,He was a remarkable man.,Fred,My great-grandfather
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve years old.",he was twelve years old.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he was twelve years old.,Fred,My father
"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father, he was twelve months old.",he was twelve months old.,"Fred is the only man alive who still remembers my father as an infant. When Fred first saw my father,",he was twelve months old.,Fred,My father
"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were defeated within weeks.",they were defeated,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger,",they were defeated within weeks.,Kamchatka,Yakutsk
"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger, they were victorious within weeks.",they were victorious,"In July, Kamtchatka declared war on Yakutsk. Since Yakutsk's army was much better equipped and ten times larger,",they were victorious within weeks.,Kamchatka,Yakutsk
Look! There is a minnow swimming right below that duck! It had better get away to safety fast!,It had better get away,Look! There is a minnow swimming right below that duck!,It had better get away to safety fast!,The minnow,The duck
Look! There is a shark swimming right below that duck! It had better get away to safety fast!,It had better get away,Look! There is a shark swimming right below that duck!,It had better get away to safety fast!,The shark,The duck
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for evidence on the river banks.",They hunted for evidence,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They hunted for evidence on the river banks.,Archaeologists,Prehistoric humans
"Archaeologists have concluded that humans lived in Laputa 20,000 years ago. They hunted for deer on the river banks.",They hunted for deer,"Archaeologists have concluded that humans lived in Laputa 20,000 years ago.",They hunted for deer on the river banks.,Archaeologists,Prehistoric humans
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They began two years ago.,They began two years ago.,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.,They began two years ago.,The scientists,The fish
The scientists are studying three species of fish that have recently been found living in the Indian Ocean. They appeared two years ago.,They appeared two years ago.,The scientists are studying three species of fish that have recently been found living in the Indian Ocean.,They appeared two years ago.,The scientists,The fish
"The journalists interviewed the stars of the new movie. They were very persistent, so the interview lasted for a long time.",They were very persistent,The journalists interviewed the stars of the new movie.,"They were very persistent, so the interview lasted for a long time.",The journalists,The stars
"The journalists interviewed the stars of the new movie. They were very cooperative, so the interview lasted for a long time.",They were very cooperative,The journalists interviewed the stars of the new movie.,"They were very cooperative, so the interview lasted for a long time.",The journalists,The stars
The police arrested all of the gang members. They were trying to stop the drug trade in the neighborhood.,They were trying to stop the drug trade,The police arrested all of the gang members.,They were trying to stop the drug trade in the neighborhood.,The police,The gang members
The police arrested all of the gang members. They were trying to run the drug trade in the neighborhood.,They were trying to run the drug trade,The police arrested all of the gang members.,They were trying to run the drug trade in the neighborhood.,The police,The gang members
I put the cake away in the refrigerator. It has a lot of butter in it.,It has a lot of butter,I put the cake away in the refrigerator.,It has a lot of butter in it.,The cake,The refrigerator
I put the cake away in the refrigerator. It has a lot of leftovers in it.,It has a lot of leftovers,I put the cake away in the refrigerator.,It has a lot of leftovers in it.,The cake,The refrigerator
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be better.,they should be better,Sam broke both his ankles and he's walking with crutches. But a month or so from now,they should be better.,The ankles,The crutches
Sam broke both his ankles and he's walking with crutches. But a month or so from now they should be unnecessary.,they should be unnecessary,Sam broke both his ankles and he's walking with crutches. But a month or so from now,they should be unnecessary.,The ankles,The crutches
"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the minority.",They were very much in the minority.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.",They were very much in the minority.,The sponsors,The opponents
"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents. They were very much in the majority.",They were very much in the majority.,"When the sponsors of the bill got to the town hall, they were surprised to find that the room was full of opponents.",They were very much in the majority.,The sponsors,The opponents
"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make more of them.",more of them,"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make",more of them.,The oatmeal cookies,The chocolate chip cookies
"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make fewer of them.",fewer of them,"Everyone really loved the oatmeal cookies; only a few people liked the chocolate chip cookies. Next time, we should make",fewer of them.,The oatmeal cookies,The chocolate chip cookies
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply not enough of them.",not enough of them,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply",not enough of them.,copies of the newsletter,chairs
"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply too many of them.",too many of them,"We had hoped to place copies of our newsletter on all the chairs in the auditorium, but there were simply",too many of them.,copies of the newsletter,chairs
"I stuck a pin through a carrot. When I pulled the pin out, it left a hole.",it left a hole,"I stuck a pin through a carrot. When I pulled the pin out,",it left a hole.,The pin,The carrot
"I stuck a pin through a carrot. When I pulled the pin out, it had a hole.",it had a hole,"I stuck a pin through a carrot. When I pulled the pin out,",it had a hole.,The pin,The carrot
"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of coffee.",it got full of coffee.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because",it got full of coffee.,The pen,The coffee
"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because it got full of ink.",it got full of ink.,"I couldn't find a spoon, so I tried using a pen to stir my coffee. But that turned out to be a bad idea, because",it got full of ink.,The pen,The coffee
Steve follows Fred's example in everything. He admires him hugely.,He admires him hugely.,Steve follows Fred's example in everything.,He admires him hugely.,Steve,Fred
Steve follows Fred's example in everything. He influences him hugely.,He influences him hugely.,Steve follows Fred's example in everything.,He influences him hugely.,Steve,Fred
The table won't fit through the doorway because it is too wide.,it is too wide.,The table won't fit through the doorway because,it is too wide.,The table,The doorway
The table won't fit through the doorway because it is too narrow.,it is too narrow.,The table won't fit through the doorway because,it is too narrow.,The table,The doorway
Grace was happy to trade me her sweater for my jacket. She thinks it looks dowdy on her.,it looks dowdy on her.,Grace was happy to trade me her sweater for my jacket. She thinks,it looks dowdy on her.,The sweater,The jacket
Grace was happy to trade me her sweater for my jacket. She thinks it looks great on her.,it looks great on her.,Grace was happy to trade me her sweater for my jacket. She thinks,it looks great on her.,The sweater,The jacket
John hired Bill to take care of him.,take care of him,John hired Bill to,take care of him.,John,Bill
John hired himself out to Bill to take care of him.,take care of him,John hired himself out to Bill to,take care of him.,John,Bill
"John promised Bill to leave, so an hour later he left.",he left,"John promised Bill to leave, so an hour later",he left.,John,Bill
"John ordered Bill to leave, so an hour later he left.",he left,"John ordered Bill to leave, so an hour later",he left.,John,Bill
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his research.,difficulties he faced,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the,difficulties he faced in his research.,Goodman,Xenophanes
Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the difficulties he faced in his childhood.,difficulties he faced,Sam Goodman's biography of the Spartan general Xenophanes conveys a vivid sense of the,difficulties he faced in his childhood.,Goodman,Xenophanes
"Emma's mother had died long ago, and her education had been managed by an excellent woman as governess.",her education,"Emma's mother had died long ago, and",her education had been managed by an excellent woman as governess.,Emma,Emma's mother
"Emma's mother had died long ago, and her place had been taken by an excellent woman as governess.",her place,"Emma's mother had died long ago, and",her place had been taken by an excellent woman as governess.,Emma,Emma's mother
Jane knocked on Susan's door but she did not get an answer.,she did not get an answer.,Jane knocked on Susan's door but,she did not get an answer.,Jane,Susan
Jane knocked on Susan's door but she did not answer.,she did not answer.,Jane knocked on Susan's door but,she did not answer.,Jane,Susan
Joe paid the detective after he received the final report on the case.,he received the final report,Joe paid the detective after,he received the final report on the case.,Joe,the detective
Joe paid the detective after he delivered the final report on the case.,he delivered the final report,Joe paid the detective after,he delivered the final report on the case.,Joe,the detective
"Beth didn't get angry with Sally, who had cut her off, because she stopped and counted to ten.",she stopped,"Beth didn't get angry with Sally, who had cut her off, because",she stopped and counted to ten.,Beth,Sally
"Beth didn't get angry with Sally, who had cut her off, because she stopped and apologized.",she stopped,"Beth didn't get angry with Sally, who had cut her off, because",she stopped and apologized.,Beth,Sally
Jim signaled the barman and gestured toward his empty glass,his empty glass,Jim signaled the barman and gestured toward,his empty glass,Jim,The barman
Jim signaled the barman and gestured toward his bathroom key.,his bathroom key,Jim signaled the barman and gestured toward,his bathroom key.,Jim,The barman
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was slow.","his ""Dibs!""",Dan took the rear seat while Bill claimed the front because,"his ""Dibs!"" was slow.",Dan,Bill
"Dan took the rear seat while Bill claimed the front because his ""Dibs!"" was quicker.","his ""Dibs!""",Dan took the rear seat while Bill claimed the front because,"his ""Dibs!"" was quicker.",Dan,Bill
"Tom said ""Check"" to Ralph as he moved his bishop.",his bishop,"Tom said ""Check"" to Ralph as he moved",his bishop.,Tom,Ralph
"Tom said ""Check"" to Ralph as he took his bishop.",his bishop,"Tom said ""Check"" to Ralph as he took",his bishop.,Tom,Ralph
"As Andrea in the crop duster passed over Susan, she could see the landing strip.",she could see,"As Andrea in the crop duster passed over Susan,",she could see the landing strip.,Andrea,Susan
"As Andrea in the crop duster passed over Susan, she could see the landing gear.",she could see,"As Andrea in the crop duster passed over Susan,",she could see the landing gear.,Andrea,Susan
Tom gave Ralph a lift to school so he wouldn't have to drive alone.,he wouldn't have to drive alone.,Tom gave Ralph a lift to school so,he wouldn't have to drive alone.,Tom,Ralph
Tom gave Ralph a lift to school so he wouldn't have to walk.,he wouldn't have to walk.,Tom gave Ralph a lift to school so,he wouldn't have to walk.,Tom,Ralph
Bill passed the half-empty plate to John because he was full.,he was full.,Bill passed the half-empty plate to John because,he was full.,Bill,John
Bill passed the half-empty plate to John because he was hungry.,he was hungry,Bill passed the half-empty plate to John because,he was hungry.,Bill,John
Bill passed the gameboy to John because his turn was over.,his turn,Bill passed the gameboy to John because,his turn was over.,Bill,John
Bill passed the gameboy to John because his turn was next.,his turn,Bill passed the gameboy to John because,his turn was next.,Bill,John
The man lifted the boy onto his shoulders.,his shoulders,The man lifted the boy onto,his shoulders.,The man,The boy
The man lifted the boy onto his bunk bed.,his bunk bed.,The man lifted the boy onto,his bunk bed.,The man,The boy
"Stretching her back, the woman smiled at the girl.",her back,Stretching,"her back, the woman smiled at the girl.",The woman,The girl
"Patting her back, the woman smiled at the girl.",her back,Patting,"her back, the woman smiled at the girl.",The woman,The girl
Billy cried because Toby wouldn't accept his toy.,his toy,Billy cried because Toby wouldn't accept,his toy.,Billy,Toby
Billy cried because Toby wouldn't share his toy.,his toy,Billy cried because Toby wouldn't share,his toy.,Billy,Toby
"Lily spoke to Donna, breaking her silence.",her silence.,"Lily spoke to Donna, breaking",her silence.,Lily,Donna
"Lily spoke to Donna, breaking her concentration.",her concentration.,"Lily spoke to Donna, breaking",her concentration.,Lily,Donna
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a sympathetic look.",gave him,"When Tommy dropped his ice cream, Timmy giggled, so father",gave him a sympathetic look.,Tommy,Timmy
"When Tommy dropped his ice cream, Timmy giggled, so father gave him a stern look.",gave him,"When Tommy dropped his ice cream, Timmy giggled, so father",gave him a stern look.,Tommy,Timmy
"As Ollie carried Tommy up the long winding steps, his legs ached.",his legs ached.,"As Ollie carried Tommy up the long winding steps,",his legs ached.,Ollie,Tommy
"As Ollie carried Tommy up the long winding steps, his legs dangled.",his legs dangled.,"As Ollie carried Tommy up the long winding steps,",his legs dangled.,Ollie,Tommy
The father carried the sleeping boy in his arms,his arms,The father carried the sleeping boy in,his arms,The father,The boy
The father carried the sleeping boy in his bassinet.,his bassinet.,The father carried the sleeping boy in,his bassinet.,The father,The boy
The woman held the girl against her chest.,her chest.,The woman held the girl against,her chest.,The woman,The girl
The woman held the girl against her will.,her will,The woman held the girl against,her will.,The woman,The girl
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were furious about it.",They were furious,"Pam's parents came home and found her having sex with her boyfriend, Paul.",They were furious about it.,Pam's parents,Pam and Paul
"Pam's parents came home and found her having sex with her boyfriend, Paul. They were embarrassed about it.",They were embarrassed,"Pam's parents came home and found her having sex with her boyfriend, Paul.",They were embarrassed about it.,Pam's parents,Pam and Paul
Dr. Adams informed Kate that she had retired and presented several options for future treatment.,she had retired,Dr. Adams informed Kate that,she had retired and presented several options for future treatment.,Dr. Adams,Kate
Dr. Adams informed Kate that she had cancer and presented several options for future treatment.,she had cancer,Dr. Adams informed Kate that,she had cancer and presented several options for future treatment.,Dr. Adams,Kate
Dan had to stop Bill from toying with the injured bird. He is very compassionate.,He is very compassionate.,Dan had to stop Bill from toying with the injured bird.,He is very compassionate.,Dan,Bill
Dan had to stop Bill from toying with the injured bird. He is very cruel.,He is very cruel.,Dan had to stop Bill from toying with the injured bird.,He is very cruel.,Dan,Bill
"George got free tickets to the play, but he gave them to Eric, even though he was particularly eager to see it.",he was particularly eager,"George got free tickets to the play, but he gave them to Eric, even though",he was particularly eager to see it.,George,Eric
"George got free tickets to the play, but he gave them to Eric, because he was particularly eager to see it.",he was particularly eager,"George got free tickets to the play, but he gave them to Eric, because",he was particularly eager to see it.,George,Eric
"George got free tickets to the play, but he gave them to Eric, because he was not particularly eager to see it.",he was not particularly eager,"George got free tickets to the play, but he gave them to Eric, because",he was not particularly eager to see it.,George,Eric
Jane gave Joan candy because she wasn't hungry.,she wasn't hungry.,Jane gave Joan candy because,she wasn't hungry.,Jane,Joan
Jane gave Joan candy because she was hungry.,she was hungry.,Jane gave Joan candy because,she was hungry.,Jane,Joan
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like light bulbs.",they came out,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but",they came out looking more like light bulbs.,lemons,lemon trees
"I tried to paint a picture of an orchard, with lemons in the lemon trees, but they came out looking more like telephone poles.",they came out,"I tried to paint a picture of an orchard, with lemons in the lemon trees, but",they came out looking more like telephone poles.,lemons,lemon trees
James asked Robert for a favor but he was refused.,he was refused.,James asked Robert for a favor but,he was refused.,James,Robert
James asked Robert for a favor but he refused.,he refused.,James asked Robert for a favor but,he refused.,James,Robert
Kirilov ceded the presidency to Shatov because he was less popular.,he was less popular.,Kirilov ceded the presidency to Shatov because,he was less popular.,Kirilov,Shatov
Kirilov ceded the presidency to Shatov because he was more popular.,he was more popular.,Kirilov ceded the presidency to Shatov because,he was more popular.,Kirilov,Shatov
Emma did not pass the ball to Janie although she saw that she was open.,she saw,Emma did not pass the ball to Janie although,she saw that she was open.,Emma,Janie
Emma did not pass the ball to Janie although she was open.,she was open,Emma did not pass the ball to Janie although,she was open.,Emma,Janie
I put the butterfly wing on the table and it broke.,it broke.,I put the butterfly wing on the table and,it broke.,The butterfly wing,The table
I put the heavy book on the table and it broke.,it broke.,I put the heavy book on the table and,it broke.,The heavy book,The table
Madonna fired her trainer because she couldn't stand her boyfriend.,she couldn't stand,Madonna fired her trainer because,she couldn't stand her boyfriend.,Madonna,The trainer
Madonna fired her trainer because she slept with her boyfriend.,she slept,Madonna fired her trainer because,she slept with her boyfriend.,Madonna,The trainer
Madonna fired her trainer because she slept with her boyfriend.,her boyfriend,Madonna fired her trainer because she slept with,her boyfriend.,Madonna,The trainer
Madonna fired her trainer because she couldn't stand her boyfriend.,her boyfriend,Madonna fired her trainer because she couldn't stand,her boyfriend.,Madonna,The trainer
Carol believed that Rebecca suspected that she had stolen the watch.,she had stolen the watch.,Carol believed that Rebecca suspected that,she had stolen the watch.,Carol,Rebecca
Carol believed that Rebecca regretted that she had stolen the watch.,she had stolen the watch.,Carol believed that Rebecca regretted that,she had stolen the watch.,Carol,Rebecca
This book introduced Shakespeare to Ovid; it was a major influence on his writing.,his writing.,This book introduced Shakespeare to Ovid; it was a major influence on,his writing.,Shakespeare,Ovid
This book introduced Shakespeare to Goethe; it was a major influence on his writing.,his writing.,This book introduced Shakespeare to Goethe; it was a major influence on,his writing.,Shakespeare,Goethe
This book introduced Shakespeare to Ovid; it was a fine selection of his writing.,his writing.,This book introduced Shakespeare to Ovid; it was a fine selection of,his writing.,Shakespeare,Ovid
This book introduced Shakespeare to Goethe; it was a fine selection of his writing.,his writing.,This book introduced Shakespeare to Goethe; it was a fine selection of,his writing.,Shakespeare,Goethe
"Alice looked for her friend Jade in the crowd. Since she always has good luck, Alice spotted her quickly.",she always has good luck,Alice looked for her friend Jade in the crowd. Since,"she always has good luck, Alice spotted her quickly.",Alice,Jade
"Alice looked for her friend Jade in the crowd. Since she always wears a red turban, Alice spotted her quickly.",she always wears a red turban,Alice looked for her friend Jade in the crowd. Since,"she always wears a red turban, Alice spotted her quickly.",Alice,Jade
"During a game of tag, Ethan chased Luke because he was ""it"".","he was ""it"".","During a game of tag, Ethan chased Luke because","he was ""it"".",Ethan,Luke
"During a game of tag, Ethan ran from Luke because he was ""it"".","he was ""it"".","During a game of tag, Ethan ran from Luke because","he was ""it"".",Ethan,Luke
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so stupid.,they were so stupid.,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because,they were so stupid.,the judges,the chatbots
At the Loebner competition the judges couldn't figure out which respondents were the chatbots because they were so advanced.,they were so advanced.,At the Loebner competition the judges couldn't figure out which respondents were the chatbots because,they were so advanced.,the judges,the chatbots
"The user changed his password from ""GrWQWu8JyC"" to ""willow-towered Canopy Huntertropic wrestles"" as it was easy to forget.",it was easy to forget.,"The user changed his password from ""GrWQWu8JyC"" to ""willow-towered Canopy Huntertropic wrestles"" as",it was easy to forget.,GrWQWu8JyC,willow-towered Canopy Huntertropic wrestles
